DropletID	FreezingTime_s
1	88
2	110
3	116
4	118
5	130
6	170
7	150
8	146
9	156
10	176
11	140
12	198
13	158
14	150
15	136
16	164
17	122
18	100
19	184
20	166
21	208
22	80
23	138
24	142
25	136
26	94
27	152
28	420
29	300
30	306
31	364
32	146
33	396
34	154
35	124
36	158
37	96
38	338
39	88
40	384
41	184
42	154
43	100
44	116
45	190
46	110
47	272
48	114
49	322
50	250
51	392
52	102
53	148
54	108
55	120
56	380
57	370
58	132
59	414
60	302
61	396
62	122
63	172
64	128
65	130
66	352
67	126
68	228
69	230
70	374
71	294
